MetadataComponentId,MetadataComponentName,MetadataComponentType,RefMetadataComponentId,RefMetadataComponentName,RefMetadataComponentType
0Rb4O000000PCPtSAO,mybfFeaturedStory,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000PCSASA4,genericSelfRegister,LightningComponentBundle,0Rb4O0000008OPkSAM,errorPanel,LightningComponentBundle
0Rb4O000000PCS8SAO,barFabricStoryThumbnail,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000PCS8SAO,barFabricStoryThumbnail,LightningComponentBundle,0Rb4O000000PCUwSAO,barFabricCss,LightningComponentBundle
0Rb4O000000PCS7SAO,barFabricStory,LightningComponentBundle,0Rb4O000000PCUwSAO,barFabricCss,LightningComponentBundle
0Rb4O000000PCS7SAO,barFabricStory,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000PCSSSA4,campusEventItemsContainer,LightningComponentBundle,0Rb4O000000PCSOSA4,campusEventItemCard,LightningComponentBundle
0Rb4O000000PCSSSA4,campusEventItemsContainer,LightningComponentBundle,0Rb4O000000PCSPSA4,campusEventItemFilter,LightningComponentBundle
0Rb4O000000PCSSSA4,campusEventItemsContainer,LightningComponentBundle,0Rb4O000000PCSRSA4,campusEventItemReceipt,LightningComponentBundle
0Rb4O000000PCSOSA4,campusEventItemCard,LightningComponentBundle,0Rb4O000000PCSQSA4,campusEventItemModal,LightningComponentBundle
0Rb4O000000PCSqSAO,learningCouncilGanttChart,LightningComponentBundle,0Rb4O000000XaUCSA0,ganttChart,LightningComponentBundle
0Rb4O000000PCSqSAO,learningCouncilGanttChart,LightningComponentBundle,0Rb4O000000XaUDSA0,ganttChartModal,LightningComponentBundle
0Rb4O000000PCUxSAO,barFabricStoryList,LightningComponentBundle,0Rb4O000000PCUwSAO,barFabricCss,LightningComponentBundle
0Rb4O000000PCUxSAO,barFabricStoryList,LightningComponentBundle,0Rb4O000000PCS8SAO,barFabricStoryThumbnail,LightningComponentBundle
0Rb4O000000PCUxSAO,barFabricStoryList,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000PCWTSA4,salespersonGoalCreation,LightningComponentBundle,0Rb4O0000008OPkSAM,errorPanel,LightningComponentBundle
0Rb4O000000PCWTSA4,salespersonGoalCreation,LightningComponentBundle,0Rb4O000000PCWUSA4,user,LightningComponentBundle
0Rb4O000000PCWUSA4,user,LightningComponentBundle,0Rb4O000000PCWVSA4,userLookup,LightningComponentBundle
0Rb4O000000XaUJSA0,linkedObjectItemList,LightningComponentBundle,0Rb4O000000XaUISA0,linkedObjectItem,LightningComponentBundle
0Rb4O000000XaU8SAK,bfFilterList,LightningComponentBundle,0Rb4O000000XaU7SAK,bfFilter,LightningComponentBundle
0Rb4O000000XaUGSA0,linkedObjectConfig,LightningComponentBundle,0Rb4O000000XaUJSA0,linkedObjectItemList,LightningComponentBundle
0Rb4O000000XaUGSA0,linkedObjectConfig,LightningComponentBundle,0Rb4O000000XaUKSA0,linkedObjectPreview,LightningComponentBundle
0Rb4O000000XaUMSA0,productQuilt,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000XaUMSA0,productQuilt,LightningComponentBundle,0Rb4O000000PBC4SAO,brandFilter,LightningComponentBundle
0Rb4O000000XaUMSA0,productQuilt,LightningComponentBundle,0Rb4O000000blp1SAA,selectableTile,LightningComponentBundle
0Rb4O000000XaUMSA0,productQuilt,LightningComponentBundle,0Rb4O000000PBC6SAO,productTile,LightningComponentBundle
0Rb4O000000XaUCSA0,ganttChart,LightningComponentBundle,0Rb4O000000XaUESA0,ganttChartResource,LightningComponentBundle
0Rb4O000000XaUCSA0,ganttChart,LightningComponentBundle,0Rb8I000001rHTzSAM,date_utils,LightningComponentBundle
0Rb4O000000XaUKSA0,linkedObjectPreview,LightningComponentBundle,0Rb4O000000XaUHSA0,linkedObjectFilterModal,LightningComponentBundle
0Rb4O000000XaUKSA0,linkedObjectPreview,LightningComponentBundle,0Rb4O000000XaULSA0,linkedObjectPreviewInfo,LightningComponentBundle
0Rb4O000000XaUOSA0,promotionGanttChart,LightningComponentBundle,0Rb4O000000XaUCSA0,ganttChart,LightningComponentBundle
0Rb4O000000XaUOSA0,promotionGanttChart,LightningComponentBundle,0Rb4O000000XaUDSA0,ganttChartModal,LightningComponentBundle
0Rb4O000000XaULSA0,linkedObjectPreviewInfo,LightningComponentBundle,0Rb4O0000008OPkSAM,errorPanel,LightningComponentBundle
0Rb4O000000XaUNSA0,promotionActivityGanttChart,LightningComponentBundle,0Rb4O000000XaUCSA0,ganttChart,LightningComponentBundle
0Rb4O000000XaUNSA0,promotionActivityGanttChart,LightningComponentBundle,0Rb4O000000XaUDSA0,ganttChartModal,LightningComponentBundle
0Rb4O000000XaUASA0,bfPath,LightningComponentBundle,0Rb4O000000XaUBSA0,confettiLib,LightningComponentBundle
0Rb4O000000XcwhSAC,tsaContent,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000XcwhSAC,tsaContent,LightningComponentBundle,0Rb4O000000XcwlSAC,tsaCss,LightningComponentBundle
